id,name,target,equipment,movement_pattern,tracking_type,confidence
"1512","all fours squad stretch","quads","body weight","knee_dominant","reps","0.55"
"3214","arms apart circular toe touch (male)","glutes","body weight","hip_dominant","reps","0.50"
"1709","assisted lying glutes stretch","glutes","assisted","hip_dominant","reps","0.50"
"1710","assisted lying gluteus and piriformis stretch","glutes","assisted","hip_dominant","reps","0.50"
"0016","assisted prone hamstring","hamstrings","assisted","hip_dominant","reps","0.50"
"1713","assisted prone lying quads stretch","quads","assisted","knee_dominant","reps","0.55"
"3220","astride jumps (male)","cardiovascular system","body weight","isolation","time","0.40"
"3672","back and forth step","cardiovascular system","body weight","isolation","time","0.40"
"1314","back extension on exercise ball","spine","stability ball","isolation","reps","0.60"
"1473","backward jump","quads","body weight","knee_dominant","reps","0.55"
"0020","balance board","quads","body weight","knee_dominant","reps","0.55"
"0980","band bent-over hip extension","glutes","band","isolation","reps","0.60"
"1408","band hip lift","glutes","band","hip_dominant","reps","0.50"
"0984","band lying hip internal rotation","glutes","band","hip_dominant","reps","0.50"
"0991","band pull through","glutes","band","hip_dominant","reps","0.50"
"0996","band seated hip internal rotation","glutes","band","hip_dominant","reps","0.50"
"0028","barbell clean and press","quads","barbell","knee_dominant","reps","0.55"
"0050","barbell incline shoulder raise","serratus anterior","barbell","isolation","reps","0.40"
"0058","barbell lying lifting (on hip)","glutes","barbell","hip_dominant","reps","0.50"
"0074","barbell rack pull","glutes","barbell","hip_dominant","reps","0.50"
"3212","basic toe touch (male)","glutes","body weight","hip_dominant","reps","0.50"
"3360","bear crawl","cardiovascular system","body weight","isolation","time","0.40"
"0130","bench hip extension","glutes","body weight","isolation","reps","0.60"
"3639","bent knee lying twist (male)","glutes","body weight","hip_dominant","reps","0.50"
"1160","burpee","cardiovascular system","body weight","isolation","time","0.40"
"3235","cable assisted inverse leg curl","hamstrings","cable","isolation","reps","0.60"
"0196","cable pull through (with rope)","glutes","cable","hip_dominant","reps","0.50"
"0228","cable standing hip extension","glutes","cable","isolation","reps","0.60"
"1548","chair leg extended stretch","quads","body weight","knee_dominant","reps","0.55"
"2331","cycle cross trainer","cardiovascular system","leverage machine","isolation","distance","0.40"
"1201","dumbbell burpee","cardiovascular system","dumbbell","isolation","time","0.40"
"0295","dumbbell clean","glutes","dumbbell","hip_dominant","reps","0.50"
"0328","dumbbell incline shoulder raise","serratus anterior","dumbbell","isolation","reps","0.40"
"0339","dumbbell lying femoral","hamstrings","dumbbell","hip_dominant","reps","0.50"
"3888","dumbbell one arm snatch","glutes","dumbbell","hip_dominant","reps","0.50"
"2808","dumbbell sumo pull through","glutes","dumbbell","hip_dominant","reps","0.50"
"1333","exercise ball back extension with arms extended","spine","stability ball","isolation","reps","0.60"
"1334","exercise ball back extension with hands behind head","spine","stability ball","isolation","reps","0.60"
"1335","exercise ball back extension with knees off ground","spine","stability ball","isolation","reps","0.60"
"1336","exercise ball back extension with rotation","spine","stability ball","isolation","reps","0.60"
"1559","exercise ball hip flexor stretch","glutes","stability ball","hip_dominant","reps","0.50"
"1338","exercise ball hug","spine","stability ball","hip_dominant","reps","0.50"
"1416","exercise ball one leg prone lower body rotation","glutes","stability ball","hip_dominant","reps","0.50"
"1417","exercise ball one legged diagonal kick hamstring curl","glutes","stability ball","isolation","reps","0.60"
"1343","exercise ball prone leg raise","spine","stability ball","isolation","reps","0.60"
"1560","exercise ball seated hamstring stretch","hamstrings","stability ball","hip_dominant","reps","0.50"
"2133","farmers walk","quads","dumbbell","knee_dominant","reps","0.55"
"0459","flutter kicks","glutes","body weight","hip_dominant","reps","0.50"
"1472","forward jump","quads","body weight","knee_dominant","reps","0.55"
"3193","glute-ham raise","hamstrings","body weight","isolation","reps","0.60"
"3221","half knee bends (male)","cardiovascular system","body weight","isolation","time","0.40"
"1511","hamstring stretch","hamstrings","body weight","hip_dominant","reps","0.50"
"3218","hands clasped circular toe touch (male)","glutes","body weight","hip_dominant","reps","0.50"
"3215","hands reversed clasped circular toe touch (male)","glutes","body weight","hip_dominant","reps","0.50"
"3636","high knee against wall","cardiovascular system","body weight","isolation","time","0.40"
"1418","hug keens to chest","glutes","body weight","hip_dominant","reps","0.50"
"0489","hyperextension","spine","body weight","isolation","reps","0.60"
"0488","hyperextension (on bench)","spine","body weight","isolation","reps","0.60"
"3011","incline scapula push up","serratus anterior","body weight","isolation","reps","0.40"
"1564","intermediate hip flexor and quad stretch","quads","rope","knee_dominant","reps","0.55"
"0496","inverse leg curl (bench support)","hamstrings","body weight","isolation","reps","0.60"
"1419","iron cross stretch","glutes","body weight","hip_dominant","reps","0.50"
"0501","jack burpee","cardiovascular system","body weight","isolation","time","0.40"
"3224","jack jump (male)","cardiovascular system","body weight","isolation","time","0.40"
"2612","jump rope","cardiovascular system","rope","isolation","time","0.40"
"0535","kettlebell hang clean","hamstrings","kettlebell","hip_dominant","time","0.50"
"0549","kettlebell swing","glutes","kettlebell","hip_dominant","reps","0.50"
"0555","kick out sit","hamstrings","body weight","hip_dominant","reps","0.50"
"1576","leg up hamstring stretch","hamstrings","body weight","hip_dominant","reps","0.50"
"0573","lever back extension","spine","leverage machine","isolation","reps","0.60"
"2286","lever hip extension v. 2","glutes","leverage machine","isolation","reps","0.60"
"0582","lever kneeling leg curl","hamstrings","leverage machine","isolation","reps","0.60"
"0585","lever leg extension","quads","leverage machine","isolation","reps","0.55"
"0586","lever lying leg curl","hamstrings","leverage machine","isolation","reps","0.60"
"3195","lever lying two-one leg curl","hamstrings","leverage machine","isolation","reps","0.60"
"0593","lever reverse hyperextension","glutes","leverage machine","isolation","reps","0.60"
"0599","lever seated leg curl","hamstrings","leverage machine","isolation","reps","0.60"
"1352","lower back curl","spine","body weight","isolation","reps","0.60"
"0613","lying (side) quads stretch","quads","body weight","knee_dominant","reps","0.55"
"0624","march sit (wall)","glutes","body weight","hip_dominant","reps","0.50"
"0628","monster walk","glutes","body weight","hip_dominant","reps","0.50"
"0630","mountain climber","cardiovascular system","body weight","isolation","time","0.40"
"1403","neck side stretch","levator scapulae","body weight","isolation","reps","0.40"
"1422","pelvic tilt into bridge","glutes","body weight","hip_dominant","reps","0.50"
"0648","power clean","hamstrings","barbell","hip_dominant","reps","0.50"
"3638","push to run","cardiovascular system","body weight","isolation","distance","0.40"
"3533","quads","quads","body weight","knee_dominant","reps","0.55"
"3552","quick feet v. 2","quads","body weight","knee_dominant","reps","0.55"
"0668","rear decline bridge","glutes","body weight","hip_dominant","reps","0.50"
"1582","reclining big toe pose with rope","hamstrings","rope","hip_dominant","reps","0.50"
"3007","resistance band leg extension","quads","resistance band","isolation","reps","0.55"
